coid,year_q,RET
1810,2025Q4,-0.8475
1813,2025Q4,-2.2988
1815,2025Q4,15.5447
1817,2025Q4,-0.5194
1903,2025Q4,-4.4327
1904,2025Q4,-6.7384
1905,2025Q4,-7.5696
1906,2025Q4,-6.6928
1907,2025Q4,-5.4249
1909,2025Q4,-13.8865
2002,2025Q4,4.1096
2006,2025Q4,-6.7449
2007,2025Q4,10.2068
2008,2025Q4,-1.5228
2009,2025Q4,21.5364
2010,2025Q4,1.4743
2012,2025Q4,12.6247
2013,2025Q4,-1.0625
2014,2025Q4,5.3509
2015,2025Q4,-2.3886
2017,2025Q4,-3.7455
2020,2025Q4,2.8081
2022,2025Q4,-0.7219
2023,2025Q4,1.0066
2024,2025Q4,8.6955
2025,2025Q4,13.6866
2027,2025Q4,-4.0431
2028,2025Q4,8.0246
2029,2025Q4,2.4098
2030,2025Q4,6.8592
2031,2025Q4,-2.3138
2032,2025Q4,6.5972
2033,2025Q4,1.2821
2034,2025Q4,5.4189
2035,2025Q4,7.7739
2038,2025Q4,3.1914
2049,2025Q4,0.5183
2059,2025Q4,-1.704
2061,2025Q4,8.8317
2062,2025Q4,-2.1429
2063,2025Q4,-4.902
2064,2025Q4,-1.6806
2065,2025Q4,-2.3847
2066,2025Q4,1.0
2067,2025Q4,-6.1032
2069,2025Q4,14.2417
2070,2025Q4,3.2099
2072,2025Q4,11.6179
2073,2025Q4,-3.2967
2101,2025Q4,-0.7991
2102,2025Q4,-1.5112
2103,2025Q4,0.0001
2104,2025Q4,13.8613
2105,2025Q4,-7.2328
2106,2025Q4,-2.7161
2107,2025Q4,4.2282
2108,2025Q4,-0.4248
2109,2025Q4,-1.9671
2114,2025Q4,0.6675
2115,2025Q4,-2.982
2201,2025Q4,-7.2728
2204,2025Q4,-2.8192
2206,2025Q4,-1.1272
2207,2025Q4,-9.8359
2208,2025Q4,-6.7599
2211,2025Q4,-18.1357
2221,2025Q4,6.9521
2227,2025Q4,-2.1161
2228,2025Q4,-0.4718
2230,2025Q4,-11.6344
2231,2025Q4,-9.806
2233,2025Q4,11.1674
2235,2025Q4,1.9317
2236,2025Q4,20.0284
2239,2025Q4,10.0002
2241,2025Q4,0.9643
2243,2025Q4,4.0908
2247,2025Q4,-5.219
2248,2025Q4,-1.9114
2250,2025Q4,-5.2561
2301,2025Q4,2.83
2302,2025Q4,-7.3685
2303,2025Q4,7.5328
2305,2025Q4,2.8036
2308,2025Q4,3.326
2312,2025Q4,-0.4445
2313,2025Q4,11.7648
2314,2025Q4,-3.617
2316,2025Q4,-13.4455
2317,2025Q4,2.2174
2321,2025Q4,-11.6992
2323,2025Q4,14.1649
2324,2025Q4,3.5775
2327,2025Q4,-1.7021
2328,2025Q4,4.7416
2329,2025Q4,18.8961
2330,2025Q4,8.0053
2331,2025Q4,5.476
2332,2025Q4,-5.3459
2337,2025Q4,15.6891
2338,2025Q4,-3.5471
2340,2025Q4,2.3529
2342,2025Q4,-1.5598
2344,2025Q4,42.4138
2345,2025Q4,15.61
2347,2025Q4,-7.9491
2348,2025Q4,-4.1519
2349,2025Q4,71.91
2351,2025Q4,-2.9999
2352,2025Q4,-16.3699
2353,2025Q4,-3.1194
2354,2025Q4,-5.3682
2355,2025Q4,-1.4443
2356,2025Q4,-1.6056
2357,2025Q4,-8.8185
2359,2025Q4,-5.9925
2360,2025Q4,-5.3722
2362,2025Q4,-5.3788
2363,2025Q4,-3.9177
2364,2025Q4,-4.5914
2365,2025Q4,2.5187
2367,2025Q4,11.4754
2368,2025Q4,8.5306
2369,2025Q4,12.6552
2371,2025Q4,-5.6801
2373,2025Q4,-1.4035
2374,2025Q4,-3.2418
2375,2025Q4,-2.7778
2376,2025Q4,2.4643
2377,2025Q4,-10.6045
2379,2025Q4,-6.1421
2380,2025Q4,-1.2656
2382,2025Q4,-3.546
2383,2025Q4,7.8688
2385,2025Q4,-2.5001
2387,2025Q4,-4.2288
2388,2025Q4,0.1922
2390,2025Q4,5.0214
2392,2025Q4,-5.7472
2393,2025Q4,6.3582
2395,2025Q4,-0.0002
2397,2025Q4,-2.2509
2399,2025Q4,15.7083
2401,2025Q4,-1.9703
2402,2025Q4,28.049
2404,2025Q4,18.477
2405,2025Q4,1.7143
2406,2025Q4,23.1708
2408,2025Q4,32.192
2409,2025Q4,5.6035
2412,2025Q4,-0.0001
2413,2025Q4,58.0587
2414,2025Q4,-1.2078
2415,2025Q4,-1.1582
2417,2025Q4,6.7306
2419,2025Q4,8.2959
2420,2025Q4,1.1999
2421,2025Q4,-3.6034
2423,2025Q4,4.1665
2424,2025Q4,7.5987
2425,2025Q4,6.2825
2426,2025Q4,6.1731
2427,2025Q4,-6.007
2428,2025Q4,-7.6722
2429,2025Q4,-1.7157
2430,2025Q4,-2.5585
2431,2025Q4,-0.8735
2433,2025Q4,-1.5544
2434,2025Q4,-2.1571
2436,2025Q4,0.5275
2438,2025Q4,-14.028
2439,2025Q4,-5.1459
2440,2025Q4,17.2689
2441,2025Q4,25.884
2442,2025Q4,-0.0001
2444,2025Q4,2.252
2449,2025Q4,8.0785
2450,2025Q4,-0.1725
2451,2025Q4,7.1038
2453,2025Q4,0.9524
2454,2025Q4,2.5087
2455,2025Q4,6.3157
2457,2025Q4,-0.3496
2458,2025Q4,-10.9021
2459,2025Q4,-0.7509
2460,2025Q4,12.2904
2461,2025Q4,-2.6144
2462,2025Q4,0.688
2464,2025Q4,5.0936
2465,2025Q4,1.5762
2466,2025Q4,24.3445
2467,2025Q4,22.1952
2468,2025Q4,-5.8021
2471,2025Q4,-2.4461
2472,2025Q4,0.4693
2474,2025Q4,5.1639
2476,2025Q4,-1.3668
2477,2025Q4,-0.2102
2478,2025Q4,-7.2935
2480,2025Q4,-0.9836
2481,2025Q4,-6.9685
2482,2025Q4,1.1627
2483,2025Q4,1.6128
2484,2025Q4,-1.937
2485,2025Q4,11.6277
2486,2025Q4,-4.4759
2488,2025Q4,0.658
2489,2025Q4,-0.0001
2491,2025Q4,32.6666
2492,2025Q4,-2.0919
2493,2025Q4,28.9978
2495,2025Q4,18.0357
2496,2025Q4,0.2938
2497,2025Q4,23.2393
2498,2025Q4,-1.5016
2501,2025Q4,4.2317
2504,2025Q4,6.6101
2505,2025Q4,3.6268
2506,2025Q4,-2.607
2509,2025Q4,8.5527
2511,2025Q4,-1.0869
2514,2025Q4,2.7118
2515,2025Q4,-11.4185
2516,2025Q4,2.7681
2520,2025Q4,2.2727
2524,2025Q4,-4.5812
2527,2025Q4,3.75
2528,2025Q4,-0.6591
2530,2025Q4,1.6339
2534,2025Q4,2.2114
2535,2025Q4,-0.1581
2536,2025Q4,-0.3832
2537,2025Q4,11.1627
2538,2025Q4,2.252
2539,2025Q4,4.3012
2540,2025Q4,2.2631
2542,2025Q4,5.9288
2543,2025Q4,-3.6857
2545,2025Q4,0.3846
2546,2025Q4,-2.6965
2547,2025Q4,1.8691
2548,2025Q4,10.9524
2596,2025Q4,26.7973
2597,2025Q4,-2.0407
2601,2025Q4,-1.6306
2603,2025Q4,5.8496
2605,2025Q4,-1.6981
2606,2025Q4,-1.6289
2607,2025Q4,-1.0292
2608,2025Q4,-2.068
2609,2025Q4,7.1155
2610,2025Q4,5.2081
2611,2025Q4,-2.3179
2612,2025Q4,-0.3357
2613,2025Q4,-3.0738
2614,2025Q4,-0.6594
2615,2025Q4,-2.2334
2616,2025Q4,-2.5548
2617,2025Q4,-2.7376
2618,2025Q4,7.1849
2630,2025Q4,2.1569
2633,2025Q4,0.179
2634,2025Q4,-2.1276
2636,2025Q4,0.0001
2637,2025Q4,3.5062
2640,2025Q4,12.1094
2641,2025Q4,-3.3735
2642,2025Q4,-2.9629
2643,2025Q4,2.3511
2645,2025Q4,-3.7289
2646,2025Q4,0.8546
2701,2025Q4,-0.8929
2702,2025Q4,-0.83
2704,2025Q4,-0.8045
2705,2025Q4,-0.0001
2706,2025Q4,-1.5267
