coid,year_q,K_avg
1101,2020Q1,54.65790375183003
1101,2020Q2,65.90852112105155
1101,2020Q3,57.053372408634175
1101,2020Q4,49.782291096447516
1101,2021Q1,48.05170402541786
1101,2021Q2,56.12637563808748
1101,2021Q3,58.883636721533364
1101,2021Q4,43.102973474185106
1101,2022Q1,63.97525680948752
1101,2022Q2,24.594730047330508
1101,2022Q3,60.02103243732568
1101,2022Q4,45.77982767545045
1101,2023Q1,55.608184114912994
1101,2023Q2,50.50271698847842
1101,2023Q3,31.665819745015664
1101,2023Q4,51.39968480048564
1101,2024Q1,31.124137115493422
1101,2024Q2,54.469975437417766
1101,2024Q3,52.34311698802288
1101,2024Q4,43.488440117243805
1101,2025Q1,50.58046900671291
1101,2025Q2,33.76574500953043
1101,2025Q3,42.608718604841975
1101,2025Q4,38.50214414105667
1102,2020Q1,44.8734873169296
1102,2020Q2,61.26361343133487
1102,2020Q3,53.715516954331854
1102,2020Q4,48.939275081023
1102,2021Q1,56.996158551674
1102,2021Q2,49.42894579725948
1102,2021Q3,50.526317582197876
1102,2021Q4,49.39637039825653
1102,2022Q1,77.80683652731948
1102,2022Q2,40.66347495951302
1102,2022Q3,67.41582690572325
1102,2022Q4,55.132485009750454
1102,2023Q1,58.422003719709274
1102,2023Q2,60.608673043342336
1102,2023Q3,50.58333082433965
1102,2023Q4,56.28504189510308
1102,2024Q1,55.507619012884234
1102,2024Q2,58.086340854096505
1102,2024Q3,71.63377131814227
1102,2024Q4,40.39199802901499
1102,2025Q1,64.75704124449945
1102,2025Q2,46.87739053366703
1102,2025Q3,39.81352007848346
1102,2025Q4,48.28400304544789
1103,2020Q1,41.92108455487767
1103,2020Q2,65.54055258865714
1103,2020Q3,45.204216209191735
1103,2020Q4,56.839197123831426
1103,2021Q1,53.112723444052904
1103,2021Q2,58.74094337278725
1103,2021Q3,49.577944825398866
1103,2021Q4,47.55144483759177
1103,2022Q1,41.15517191810817
1103,2022Q2,36.505917772250505
1103,2022Q3,54.970357897917594
1103,2022Q4,53.67149950372613
1103,2023Q1,65.02182116510349
1103,2023Q2,54.20182188127518
1103,2023Q3,36.12952111514463
1103,2023Q4,49.77427023704776
1103,2024Q1,32.4519306573254
1103,2024Q2,49.627249649251105
1103,2024Q3,61.58611961960892
1103,2024Q4,46.598109653205135
1103,2025Q1,40.842756726262515
1103,2025Q2,46.66561557760425
1103,2025Q3,48.80514289112087
1103,2025Q4,55.81095239015602
1104,2020Q1,28.70158893466722
1104,2020Q2,73.23477472602332
1104,2020Q3,58.08820887129582
1104,2020Q4,53.90456483385404
1104,2021Q1,46.961305712386235
1104,2021Q2,52.62312590588641
1104,2021Q3,49.239085330364
1104,2021Q4,60.50474728727007
1104,2022Q1,56.442824579184496
1104,2022Q2,55.13972383038603
1104,2022Q3,53.45341228571949
1104,2022Q4,53.35840688334179
1104,2023Q1,75.06545010181465
1104,2023Q2,62.737793089295884
1104,2023Q3,41.2540429197792
1104,2023Q4,59.36762367741613
1104,2024Q1,53.60151734886729
1104,2024Q2,56.70695991697597
