coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
1435,2025,-4.58,-0.41,-5.37,-1010.82,64.69,-89.70588235294117,1176191,15.63
1436,2025,5.6,5.39,14.57,37.0,50.21,5.7454666210477585,21673027,67.98
1437,2025,4.14,2.41,5.91,44.18,54.51,106.9728372204651,13696468,39.64
1438,2025,2.07,1.74,6.37,23.89,30.02,1.6004741188591434,14433401,78.24
1439,2025,6.02,3.21,10.29,14.98,26.72,34.53334724133638,5901008,41.53
1440,2025,0.14,-0.15,-0.68,-4.12,7.32,-11.466484295679034,45862019,38.92
1441,2025,-0.4,-0.45,-6.13,-3.32,6.61,15.960850693523227,1397216,66.82
1442,2025,7.74,3.03,13.39,38.75,48.93,-69.59231164054653,14293479,44.01
1443,2025,3.07,1.13,8.63,34.45,48.55,53.211906789840356,7923078,76.55
1444,2025,-3.98,-0.78,-7.73,-5.37,2.54,-32.52086843303666,19535351,44.5
1445,2025,-3.05,-0.87,-5.01,-12.21,11.3,-3.6789700559911584,4470478,52.5
1446,2025,6.74,1.62,8.06,32.02,45.38,30.931100448458622,3190016,13.08
1447,2025,-4.29,-0.97,-9.26,-1.79,0.72,-6.646246718595858,15919475,48.06
1449,2025,3.62,0.12,7.38,-11.16,9.32,9.354419677797122,8015993,63.52
1451,2025,4.15,1.76,4.82,1.79,11.51,4.854824743355253,8692588,15.25
1452,2025,-1.89,-0.41,-2.0,-4.97,1.92,0.5445797799664576,2839185,4.95
1453,2025,0.49,0.04,0.32,-2403.59,284.81,-77.58186397984886,2931167,50.38
1454,2025,-6.72,-1.12,-9.29,-8.35,1.96,-3.66249472333502,1984954,30.6
1455,2025,-4.74,-0.99,-8.66,-7.28,-2.02,26.007311236128892,9187751,36.88
1456,2025,4.26,3.41,17.97,78.23,38.95,194.28231118655185,13279932,85.42
1457,2025,3.16,1.18,4.71,20.12,9.66,1.8786195280905231,17170594,48.51
1459,2025,9.87,0.81,13.14,4.85,12.93,-13.232653550779085,4677801,24.82
