coid,year_q,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
1423,2025Q4,11.77,4.36,12.57,-76.61,-13.54,-380.64142833526205,3916570,6.3
1432,2025Q4,13.92,6.03,42.44,-7.96,41.5,-88.34815311600505,4357873,57.65
1434,2025Q4,1.98,0.51,2.18,2.69,11.19,1.7102224301493454,57138363,25.9
1435,2025Q4,-4.58,-0.41,-5.37,-1010.82,64.69,-89.70588235294117,1176191,15.63
1436,2025Q4,5.6,5.39,14.57,37.0,50.21,5.7454666210477585,21673027,67.98
1437,2025Q4,4.14,2.41,5.91,44.18,54.51,106.9728372204651,13696468,39.64
1438,2025Q4,2.07,1.74,6.37,23.89,30.02,1.6004741188591434,14433401,78.24
1439,2025Q4,6.02,3.21,10.29,14.98,26.72,34.53334724133638,5901008,41.53
1440,2025Q4,0.14,-0.15,-0.68,-4.12,7.32,-11.466484295679034,45862019,38.92
1441,2025Q4,-0.4,-0.45,-6.13,-3.32,6.61,15.960850693523227,1397216,66.82
1442,2025Q4,7.74,3.03,13.39,38.75,48.93,-69.59231164054653,14293479,44.01
1443,2025Q4,3.07,1.13,8.63,34.45,48.55,53.211906789840356,7923078,76.55
1444,2025Q4,-3.98,-0.78,-7.73,-5.37,2.54,-32.52086843303666,19535351,44.5
1445,2025Q4,-3.05,-0.87,-5.01,-12.21,11.3,-3.6789700559911584,4470478,52.5
1446,2025Q4,6.74,1.62,8.06,32.02,45.38,30.931100448458622,3190016,13.08
1447,2025Q4,-4.29,-0.97,-9.26,-1.79,0.72,-6.646246718595858,15919475,48.06
1449,2025Q4,3.62,0.12,7.38,-11.16,9.32,9.354419677797122,8015993,63.52
1451,2025Q4,4.15,1.76,4.82,1.79,11.51,4.854824743355253,8692588,15.25
1452,2025Q4,-1.89,-0.41,-2.0,-4.97,1.92,0.5445797799664576,2839185,4.95
1453,2025Q4,0.49,0.04,0.32,-2403.59,284.81,-77.58186397984886,2931167,50.38
1454,2025Q4,-6.72,-1.12,-9.29,-8.35,1.96,-3.66249472333502,1984954,30.6
1455,2025Q4,-4.74,-0.99,-8.66,-7.28,-2.02,26.007311236128892,9187751,36.88
1456,2025Q4,4.26,3.41,17.97,78.23,38.95,194.28231118655185,13279932,85.42
1457,2025Q4,3.16,1.18,4.71,20.12,9.66,1.8786195280905231,17170594,48.51
1459,2025Q4,9.87,0.81,13.14,4.85,12.93,-13.232653550779085,4677801,24.82
1460,2025Q4,-0.95,-0.27,-3.1,-0.97,14.97,-4.22992440253054,11333443,49.7
1463,2025Q4,1.53,0.13,1.77,-0.55,10.97,-150.62559613981935,3136507,12.91
1464,2025Q4,1.54,0.35,0.95,2.88,19.33,-0.33284592057743906,16986855,66.15
1465,2025Q4,-1.83,-0.33,-2.08,-19.36,-3.51,6.585027143037495,1748522,10.06
1466,2025Q4,-2.55,-1.07,-7.46,-3.43,6.74,7.423257444564327,3682584,55.54
1467,2025Q4,-0.18,-0.45,-4.01,-0.04,19.2,-31.725555045026343,8725787,65.91
1468,2025Q4,1.23,0.21,1.88,-0.27,12.81,-2.744641270086612,3249829,54.24
1470,2025Q4,5.73,0.78,6.57,10.39,24.19,-3.1255619386528615,1160341,12.66
1471,2025Q4,0.31,0.03,0.33,-52.45,8.53,-99.61449045054589,1677600,7.6
1472,2025Q4,7.09,6.4,15.53,10.31,14.09,0.4506630482520829,5421704,57.61
1473,2025Q4,1.88,0.57,2.1,1.35,15.68,-0.39754735680157277,5317501,28.54
1474,2025Q4,1.56,0.34,1.91,0.12,11.33,-3.249923751531658,3679110,41.06
1475,2025Q4,7.86,2.72,11.38,16.94,22.22,45.62084531513749,2303013,32.57
1476,2025Q4,15.7,20.1,18.84,18.67,28.64,-0.682287784082384,35036913,15.41
1477,2025Q4,16.69,14.65,25.36,13.6,24.87,0.28420044369889036,23904412,40.7
1503,2025Q4,5.7,6.27,8.95,11.56,20.89,-1.3228472907838418,60537412,38.68
1504,2025Q4,4.45,2.42,6.25,8.95,23.83,-15.96613178967116,144575878,31.96
1506,2025Q4,0.65,0.06,0.68,-0.09,16.33,59.60253582145909,3296606,12.95
1512,2025Q4,2.11,0.19,2.84,-2.38,32.09,5.3535872867492404,2836003,76.93
1513,2025Q4,8.55,8.07,19.89,18.13,25.75,32.77985963868451,47698790,56.21
1514,2025Q4,7.77,3.3,14.78,10.11,18.74,0.7475128707792089,13279840,51.75
1515,2025Q4,2.48,0.97,4.37,-0.38,12.73,-6.656536000692897,8272858,51.79
1516,2025Q4,0.85,0.04,0.87,-15.16,5.84,-0.04370820402989641,208908,1.07
1517,2025Q4,-3.15,-0.69,-3.82,-16.27,3.17,5.042612780217705,4219584,16.77
1519,2025Q4,17.59,13.99,44.58,21.4,40.48,5.84474315111425,28210763,61.65
1521,2025Q4,2.31,0.87,3.56,2.95,16.28,0.24545900834560627,2992395,37.66
1522,2025Q4,2.93,1.72,6.19,4.91,21.87,-1.8237977878455676,39196637,73.19
1524,2025Q4,6.55,1.95,10.57,16.19,27.87,5.52191016633979,5199171,41.99
1525,2025Q4,4.12,3.21,4.71,3.31,14.78,-23.78384973361763,5706339,11.97
1526,2025Q4,0.38,-0.11,-0.49,-6.69,21.78,-2.337511039290479,2327923,41.45
1527,2025Q4,3.87,1.52,4.34,6.04,20.93,32.5599480220435,5355518,9.98
1528,2025Q4,-0.41,-0.35,-3.11,1.73,31.1,1.1095934672776409,5237014,57.92
1529,2025Q4,5.76,1.01,9.18,7.69,18.64,-71.71720884641304,3174775,40.76
1530,2025Q4,-3.49,-2.45,-6.69,-3.98,14.26,-7.243391400201737,5660254,42.02
1531,2025Q4,-0.44,-0.12,-0.58,-2.82,20.17,-19.389166206716684,4282309,15.91
1532,2025Q4,1.97,0.98,3.76,7.28,23.99,-2.081437490809731,53439466,63.91
1533,2025Q4,2.27,0.58,4.08,3.71,29.89,-3.9239780658025922,9199686,69.84
1535,2025Q4,6.88,4.0,13.09,4.15,9.41,-0.9999252009804998,7264980,47.39
1536,2025Q4,-2.5,-2.71,-9.07,-10.51,2.92,-116.89312918749334,21571544,63.33
1537,2025Q4,10.79,7.95,14.32,12.07,20.36,-6.013093595857721,5800634,24.28
1538,2025Q4,-19.1,-1.59,-31.4,-44.51,23.06,-84.93372275893057,256683,45.87
1539,2025Q4,0.82,0.21,0.84,2.45,9.74,6.7940033926723,2148107,25.66
1540,2025Q4,5.47,1.11,6.33,20.13,33.92,-3.7858057112592136,1640358,9.82
1541,2025Q4,6.03,2.32,8.89,6.58,18.39,1.9300379618243064,3181040,33.53
1558,2025Q4,5.06,5.52,7.15,9.01,26.93,12.365455271100311,12998638,34.19
1560,2025Q4,11.81,9.28,17.55,15.99,32.48,11.6102344221957,13258011,35.97
1563,2025Q4,2.41,1.42,3.42,8.07,21.27,-36.63969940503187,18222616,51.82
1565,2025Q4,5.8,9.03,6.94,13.13,23.07,2.403037112960145,7806837,16.09
1568,2025Q4,5.93,1.36,7.08,15.68,32.38,-7.976639484500013,2380321,14.86
1569,2025Q4,-9.82,-5.61,-23.17,-17.51,-0.44,-12.242737748978314,6330612,55.82
1570,2025Q4,2.63,0.59,2.97,7.14,24.89,-12.821938616359024,1117317,9.15
1580,2025Q4,14.75,12.54,19.85,18.87,42.63,-11.353115948860145,4545458,25.85
1582,2025Q4,4.41,3.45,6.81,8.67,23.54,-12.00091904551639,12919966,41.0
1583,2025Q4,-3.97,-4.83,-8.39,-3.85,18.14,55.598770993980175,14192663,49.24
1584,2025Q4,1.7,0.44,1.86,3.31,11.88,107.11933304477105,7941308,39.75
1586,2025Q4,-0.41,-0.35,-1.98,-2.99,12.27,-7.403082341750992,3694628,48.1
1587,2025Q4,1.7,0.37,1.91,2.47,19.05,-4.187268748859011,3712400,57.68
1590,2025Q4,14.67,42.0,16.72,29.97,45.97,-12.76595744680851,57540184,8.61
1591,2025Q4,-16.5,-2.75,-21.33,-99.86,-13.73,54.022573112420766,701805,31.33
1593,2025Q4,5.99,2.18,8.33,9.96,31.33,1.6532639221864511,2144666,33.28
1595,2025Q4,-2.38,-1.95,-3.8,-15.96,27.1,-51.98747187539799,3729309,27.01
1597,2025Q4,2.58,0.91,3.31,9.27,40.99,14.854928011079368,4093274,41.16
1598,2025Q4,-5.13,-3.35,-13.36,-6.76,35.98,-0.5764646331238276,10227005,56.31
1599,2025Q4,-2.72,-0.84,-4.11,-8.94,19.65,-34.429975599197135,2627998,27.84
1603,2025Q4,4.83,3.26,7.06,10.43,13.17,-14.23097633714095,12169036,37.72
1604,2025Q4,4.09,1.7,7.33,4.98,18.68,-49.128524740695866,18848945,51.99
1605,2025Q4,1.46,0.75,1.45,0.01,6.37,20.472663714857582,303417046,41.96
1608,2025Q4,16.18,5.5,24.45,8.15,10.37,-7.025302505070212,16533902,35.15
1609,2025Q4,4.02,1.65,8.53,8.78,13.98,-11.128454235665691,63043142,68.66
1611,2025Q4,0.39,0.03,0.21,6.84,31.87,22.254170917904396,5159010,18.52
1612,2025Q4,9.55,2.77,10.87,11.65,14.89,-15.190445264685353,9684742,12.41
1614,2025Q4,3.64,0.97,4.42,4.58,20.3,-1.4080754458989364,6957662,17.43
1615,2025Q4,16.81,4.81,23.64,18.65,22.69,0.016718356882032753,6228468,29.14
1616,2025Q4,7.83,1.55,13.27,10.75,15.04,-8.806074328219305,4276320,48.14
1617,2025Q4,3.48,0.68,4.75,-0.03,7.23,-8.45701536500121,3369903,30.54
1618,2025Q4,10.22,4.21,12.81,15.62,18.92,9.28766762549123,8440211,21.87
1623,2025Q4,13.02,13.61,29.87,15.15,18.66,12.85005826890237,7118829,58.68
1626,2025Q4,-1.17,-0.86,-4.51,-1.35,19.6,-0.9971043773373418,8159488,66.12
1702,2025Q4,1.79,1.12,2.85,2.51,24.77,-20.016961833503753,33438691,53.57
1707,2025Q4,12.01,8.22,15.6,20.89,75.08,16.506650981510212,15738289,23.33
1708,2025Q4,7.05,3.28,11.19,18.21,31.87,11.937277558263801,12505075,40.96
1709,2025Q4,4.95,1.23,6.32,7.01,14.89,-3.3097400643169004,12121837,23.99
1710,2025Q4,-2.84,-1.01,-9.15,-4.06,0.86,-2.899444749527122,32353282,64.58
1711,2025Q4,-0.6,-0.21,-1.58,-2.59,18.97,12.939523410090677,12793865,34.07
1712,2025Q4,7.52,2.6,12.81,6.96,30.49,2.6527509557110833,15370664,43.86
1713,2025Q4,13.67,3.87,14.32,-17.23,4.53,152.5010813703712,3974347,4.17
1714,2025Q4,5.2,0.5,7.02,5.23,10.43,-5.523689098856889,24999031,30.99
1717,2025Q4,3.39,1.41,5.99,4.16,20.57,8.027127931863664,60154782,53.08
1718,2025Q4,0.72,0.09,7.83,17.06,41.22,-19.201610774954585,1038288332,91.14
1720,2025Q4,10.99,5.19,13.75,19.4,41.42,6.892903331322565,11795903,21.27
1721,2025Q4,-9.94,-1.84,-18.94,-18.83,-7.3,-2.596125773859579,3081376,46.54
1722,2025Q4,1.15,0.95,1.7,3.0,13.1,-51.23489688515577,81524634,33.43
1723,2025Q4,5.57,2.65,7.68,9.14,18.9,-1.2999436962348985,11442959,31.68
1725,2025Q4,3.58,1.53,4.56,1.82,4.59,-25.640028650363245,8799711,24.57
1726,2025Q4,7.45,5.5,8.62,11.12,26.67,-5.997194854680548,12107683,13.86
1727,2025Q4,0.17,0.04,0.25,0.05,10.97,11.272578522538753,3512963,40.39
1730,2025Q4,11.74,4.5,14.81,15.35,50.97,-1.280267232633883,2775389,21.08
1731,2025Q4,5.85,1.36,8.48,13.72,63.23,0.30350147652624604,3237440,33.19
1732,2025Q4,4.44,0.69,5.89,6.6,41.24,4.684462566971694,671414,25.13
1733,2025Q4,6.86,1.63,8.83,7.24,27.7,0.5391873237447437,2415805,22.57
1734,2025Q4,6.13,1.92,9.76,12.36,43.21,-4.097961076017331,6153050,39.62
1735,2025Q4,3.07,0.78,4.97,2.27,18.13,-45.25503802501923,2955375,47.47
1736,2025Q4,6.52,9.06,21.33,6.61,50.56,3.209660066370162,50134342,72.6
1737,2025Q4,4.76,2.0,5.84,14.4,40.6,-0.8778225786696585,8262561,17.53
1742,2025Q4,-5.91,-1.08,-7.5,-77.95,24.08,-10.464692482915718,1434821,10.0
1752,2025Q4,6.57,2.42,9.93,13.67,35.56,0.750585851398696,3823371,34.88
1760,2025Q4,6.27,2.22,9.81,14.92,54.13,-0.8977567981777533,3226687,39.42
1762,2025Q4,-5.08,-4.39,-7.57,-39.7,-1.1,6.6383346411913555,4317353,28.49
1773,2025Q4,12.73,6.81,19.31,20.69,34.62,14.201638052824366,17049003,33.2
1776,2025Q4,1.19,0.28,1.36,3.36,17.25,11.263450848948578,1466260,36.87
1777,2025Q4,9.03,5.87,10.16,24.6,34.64,-0.8224310641130843,2959852,12.49
1781,2025Q4,-7.39,-1.3,-17.28,-15.93,17.62,4.757680694631617,723128,55.67
1783,2025Q4,15.27,2.96,18.22,32.17,69.46,0.9803921568627451,1893142,18.78
1784,2025Q4,0.07,1.02,0.04,-1.17,55.3,-7.336006265959708,3079898,26.71
1785,2025Q4,6.47,3.14,12.71,10.52,14.56,10.67094470209502,34434450,56.4
1786,2025Q4,6.71,2.24,8.37,21.42,72.0,-1.0457854329925613,2669579,25.82
1788,2025Q4,7.62,8.28,12.18,9.79,26.73,4.075738067023574,5083565,39.98
1789,2025Q4,1.22,0.17,1.3,3.44,34.66,3.23111857553413,11857725,11.24
1795,2025Q4,7.43,18.14,21.0,28.79,58.05,-29.630582472022365,106153931,77.6
1796,2025Q4,2.79,0.7,3.6,6.81,28.18,5.512042073900187,1280663,36.23
1799,2025Q4,-4.11,-0.59,-10.47,-11.25,46.92,-27.72293710346699,1292295,45.63
1802,2025Q4,-0.25,-0.2,-1.39,0.89,11.6,-35.69629528799091,90825325,44.59
1805,2025Q4,1.59,0.2,1.86,9.57,29.28,0.6778288162508392,2002298,18.76
1806,2025Q4,1.78,0.29,2.07,3.04,22.82,1.4117244671830353,8174847,35.58
1808,2025Q4,2.8,1.36,9.5,27.42,38.74,34.578132179102475,56339006,77.2
1809,2025Q4,0.8,0.19,0.72,1.0,19.9,-7.015386451692949,4511725,26.74
1810,2025Q4,0.36,0.05,0.25,-1.08,25.81,14.171626435777378,10370917,33.05
1813,2025Q4,-4.84,-1.03,-7.92,-41.82,-17.19,34.502840503582746,931759,29.06
1815,2025Q4,5.99,1.64,8.42,15.61,27.56,-161.89267310572652,18445939,31.71
1817,2025Q4,9.26,3.61,11.51,12.4,36.82,-2.409595534303559,2929346,21.77
1903,2025Q4,3.63,1.29,6.22,-14.31,65.19,-538.2055029874093,10560058,47.67
1904,2025Q4,2.05,0.74,2.64,4.38,17.98,9.21168851484419,71983295,58.28
1905,2025Q4,-0.93,-0.56,-3.42,-8.14,2.68,-12.856914504003992,40441347,54.04
1906,2025Q4,0.58,0.01,0.04,2.91,9.31,-4.0884946522271415,5545101,49.64
1907,2025Q4,1.89,1.19,2.48,-1.13,12.96,-70.5322147737672,172258022,46.62
1909,2025Q4,0.87,-0.39,-2.5,-0.03,9.85,0.3944221359138086,68753224,70.44
2002,2025Q4,0.08,-0.29,-1.04,-1.23,2.85,-10.9725119786762,673846973,51.04
2006,2025Q4,9.26,6.47,14.16,10.11,14.82,2.0042393366455364,51997209,33.72
2007,2025Q4,-8.23,-2.24,-24.84,-15.48,-11.79,-25.98915548270046,12348662,65.78
2008,2025Q4,2.63,0.68,3.57,8.89,16.8,-21.8964412248601,8234382,54.58
2009,2025Q4,1.37,0.34,1.44,-2.59,-0.41,0.5149675232985033,11625222,16.44
2010,2025Q4,6.93,2.32,11.72,7.16,10.99,-2.3403194250011654,24224204,45.1
2012,2025Q4,1.64,0.2,2.5,3.6,13.77,-5.007703200461776,11546927,60.26
2013,2025Q4,4.63,3.19,11.5,2.87,4.7,1.2023347177695891,14959765,62.05
2014,2025Q4,-5.77,-1.29,-14.05,-10.55,-8.36,-1.276794894934494,26886152,54.95
2015,2025Q4,8.65,3.88,10.04,8.62,11.53,1.0136637662285155,25840611,12.49
2017,2025Q4,-1.39,-0.56,-4.47,-14.73,0.44,-30.116924144091378,13652084,52.89
2020,2025Q4,6.9,2.13,12.53,7.99,18.65,3.692845397183702,9095847,50.66
2022,2025Q4,1.79,-0.02,1.76,1.0,10.01,-4.23708683438485,10459441,33.31
2023,2025Q4,-2.55,-1.85,-11.11,0.08,8.27,-9.688418574946613,99525592,66.74
2024,2025Q4,0.19,-0.06,-0.53,0.64,6.83,9.972196553675307,1654188,32.61
2025,2025Q4,-1.31,-0.18,-2.17,-23.12,-28.92,45.83041227808726,2161477,33.22
2027,2025Q4,6.35,2.88,9.74,13.8,24.73,-4.326008590431427,153516847,42.34
2028,2025Q4,1.5,0.28,1.9,1.63,3.93,2.193933136797674,8326440,43.21
2029,2025Q4,2.25,0.74,2.47,2.22,10.3,-8.052728376018555,11319659,10.29
2030,2025Q4,1.8,0.35,1.95,2.18,9.35,-2.0954796606623605,11443077,57.16
2031,2025Q4,4.94,3.3,8.87,5.39,8.88,2.1938059432366477,28718181,56.62
2032,2025Q4,3.63,0.56,4.21,0.82,4.16,1.8345942277366352,2164447,19.03
2033,2025Q4,2.44,0.35,2.7,4.33,14.24,35.33898208829777,1235041,14.45
2034,2025Q4,1.28,0.21,1.07,1.55,8.5,-3.346052625070816,21938894,55.87
2035,2025Q4,-8.47,-4.72,-54.16,-16.16,-13.04,-20.76052029498183,17451886,86.96
2038,2025Q4,-0.48,-0.56,-3.12,-0.87,1.32,0.01674609597742645,9648826,58.66
2049,2025Q4,2.91,4.31,3.78,6.77,28.76,-4.802925894920465,54175996,30.83
2059,2025Q4,32.05,103.23,39.89,69.07,76.05,0.6748892931817208,35083436,20.12
2061,2025Q4,-3.52,-0.97,-8.71,-0.37,5.3,-0.07873458755070846,1182669,48.23
2062,2025Q4,0.93,0.39,1.01,1.13,9.71,30.055847106299332,11247296,32.35
2063,2025Q4,4.84,1.72,8.13,3.73,17.0,-81.80682957626175,1966185,53.23
2064,2025Q4,-2.52,-1.3,-9.16,-4.13,3.22,0.3600454746126766,2458652,61.93
2065,2025Q4,2.92,1.12,3.84,4.79,14.6,7.1986984288502285,3391238,47.53
2066,2025Q4,2.28,1.34,2.73,2.73,29.89,6.159975424928244,3746589,43.52
2067,2025Q4,-6.18,-2.8,-49.8,-12.62,3.88,36.04641638225256,1943102,84.33
2069,2025Q4,4.15,1.62,6.61,3.63,9.36,-8.076014089498889,9017645,53.87
2070,2025Q4,6.4,2.3,8.73,13.5,46.4,3.2963004737198287,1409590,32.22
2072,2025Q4,8.51,11.94,10.58,22.65,28.43,9.376764598620062,24319195,19.03
2073,2025Q4,-1.18,-0.39,-2.49,-2.1,9.79,6.520666792403558,664018,37.81
2101,2025Q4,2.03,1.01,6.17,6.86,21.45,-737.4774422019406,54280247,76.66
2102,2025Q4,23.02,6.28,35.2,-85.0,20.4,5156.59358215541,12285208,21.47
2103,2025Q4,2.1,0.54,2.81,2.7,9.8,-4.547345346651271,43258931,50.27
2104,2025Q4,-7.43,-4.28,-15.04,-14.57,-5.22,52.97630772763252,49185584,48.14
2105,2025Q4,3.79,1.5,5.44,7.88,22.73,-50.41193463466848,142881524,38.74
2106,2025Q4,1.11,0.13,0.62,1.68,19.16,-11.160514011206772,45493123,57.01
2107,2025Q4,3.45,1.67,3.81,19.6,34.15,-170.3152585119798,15414829,12.53
2108,2025Q4,3.99,0.83,4.45,7.38,22.34,-10.596363999123854,18357583,10.23
2109,2025Q4,5.27,1.16,7.9,10.9,21.88,-7.407446770822262,8554520,38.89
2114,2025Q4,12.02,5.78,14.37,31.18,39.73,4.585716858830692,3805519,16.66
2115,2025Q4,3.94,1.58,5.08,8.55,20.66,2.8389389322456466,4641302,30.18
2201,2025Q4,1.09,0.93,3.82,8.16,32.26,22.401456510103817,366946552,74.41
2204,2025Q4,6.0,5.47,7.71,3.54,15.15,5.175759622267358,54041212,22.74
2206,2025Q4,6.5,5.78,13.87,8.7,20.75,-0.6345513807073443,97138190,56.45
2207,2025Q4,5.49,33.93,18.89,13.27,20.24,-0.7357898798285458,521024955,76.25
2208,2025Q4,-5.28,-1.77,-28.04,-13.59,-10.15,-104.09007138661433,46417525,84.62
2211,2025Q4,10.28,8.6,12.99,23.43,27.67,3.5546853375821614,39451866,21.54
2221,2025Q4,6.21,2.31,9.1,10.01,20.24,4.63611423015037,1728867,32.81
2227,2025Q4,1.68,1.3,2.09,-4.05,9.47,11.156331640800046,22844322,20.81
2228,2025Q4,6.28,5.25,8.14,9.16,23.6,-9.338912218363886,6734972,25.34
2230,2025Q4,-3.36,-1.05,-5.71,-2.35,6.64,-10.513531544355137,2073679,41.73
2231,2025Q4,-3.38,-1.63,-9.05,-2.69,32.62,-94.62728703643015,10933138,59.34
2233,2025Q4,6.6,6.7,9.97,12.64,30.99,7.591794954818982,6624571,40.15
2235,2025Q4,2.39,0.95,2.7,4.65,18.37,3.26731424246247,1412214,12.68
2236,2025Q4,-2.97,-6.81,-18.64,-0.24,10.68,-20.584117252544633,8030353,71.28
2239,2025Q4,-2.55,-7.87,-6.46,-2.68,10.02,-35.21072787226258,35850472,51.3
2241,2025Q4,-2.8,-0.7,-5.06,-16.62,3.5,-26.035761488132298,2283836,33.54
2243,2025Q4,3.15,1.22,10.91,5.95,14.39,-3.9774584888405933,3381217,76.13
