coid,year_q,ppo_quarter_end
1101,2020Q1,-2.392696050419094
1101,2020Q2,-0.026655268650583697
1101,2020Q3,-0.8610155325914576
1101,2020Q4,0.11976163685077885
1101,2021Q1,2.68706959312074
1101,2021Q2,0.09171404908549702
1101,2021Q3,0.6981930844151553
1101,2021Q4,0.4789152090347111
1101,2022Q1,1.320287249143465
1101,2022Q2,-2.063430861307775
1101,2022Q3,-3.621929681470447
1101,2022Q4,0.034851882367892086
1101,2023Q1,-0.47603701627020506
1101,2023Q2,-0.00016193620870710417
1101,2023Q3,-1.420932036768101
1101,2023Q4,0.44290000108235716
1101,2024Q1,-0.5744522014313752
1101,2024Q2,0.9743768879058374
1101,2024Q3,1.1300222577201156
1101,2024Q4,-0.897529366901463
1101,2025Q1,-0.6284427341333179
1101,2025Q2,-3.326801785604381
1101,2025Q3,0.7238121769535413
1101,2025Q4,1.124460544648004
1102,2020Q1,-3.773615729116744
1102,2020Q2,-0.273223703798043
1102,2020Q3,-0.5880012369726845
1102,2020Q4,0.025676427908768264
1102,2021Q1,2.6553648497247924
1102,2021Q2,0.23907149894353227
1102,2021Q3,0.25337975605697216
1102,2021Q4,0.5776201852593292
1102,2022Q1,1.6250707522066088
1102,2022Q2,-0.8379234355761387
1102,2022Q3,-2.603486736177948
1102,2022Q4,-0.07482928712031464
1102,2023Q1,0.07417475483338556
1102,2023Q2,0.18679610438566477
1102,2023Q3,-0.19523737445418102
1102,2023Q4,-0.1371229762713158
1102,2024Q1,0.6697498576413957
1102,2024Q2,0.659955913569922
1102,2024Q3,1.4047034678048205
1102,2024Q4,-1.155026543251639
1102,2025Q1,2.693250639248256
1102,2025Q2,-0.4987492138035676
1102,2025Q3,-0.41246678694289707
1102,2025Q4,-0.6824645565000118
1103,2020Q1,-7.832598648479363
1103,2020Q2,1.7008826409032962
1103,2020Q3,-1.4075091029333509
1103,2020Q4,1.13566133887681
1103,2021Q1,3.3801457344749193
1103,2021Q2,-0.1700998249603985
1103,2021Q3,0.5855737220786738
1103,2021Q4,0.39196024988536776
1103,2022Q1,0.32840874140851845
1103,2022Q2,-0.8619183507811107
1103,2022Q3,-1.4609987493128096
1103,2022Q4,-0.24376626974682145
1103,2023Q1,-0.31559518950163623
1103,2023Q2,1.9110682258451446
1103,2023Q3,-0.49692206818876616
1103,2023Q4,0.050494143404339116
1103,2024Q1,-0.8857617397919232
1103,2024Q2,0.15616428243228891
1103,2024Q3,0.663343629230001
1103,2024Q4,-0.8863885638432801
1103,2025Q1,-1.1394178942217104
1103,2025Q2,-1.33528177901459
1103,2025Q3,0.13390913786346179
1103,2025Q4,0.5881723855482526
1104,2020Q1,-3.9426766588783093
1104,2020Q2,0.6155035517743075
1104,2020Q3,-1.0388808772196994
1104,2020Q4,0.8621470244415653
1104,2021Q1,0.9138671497221106
1104,2021Q2,-0.1279570091781211
1104,2021Q3,0.05491748099928886
1104,2021Q4,0.16007260707827212
1104,2022Q1,-0.0844077403551401
1104,2022Q2,0.8431406493703405
1104,2022Q3,-1.585379510441224
1104,2022Q4,-0.16121715504738618
1104,2023Q1,2.3825890704798565
1104,2023Q2,2.05086297957185
1104,2023Q3,-1.3818712271498013
1104,2023Q4,0.24514108017370936
1104,2024Q1,1.3997304534507902
1104,2024Q2,1.3127340492616186
1104,2024Q3,0.7420466577386706
1104,2024Q4,0.213310256650908
1104,2025Q1,0.29670858259943095
1104,2025Q2,-0.010130663199210462
1104,2025Q3,1.3889373335674722
1104,2025Q4,-0.9200640112904888
1108,2020Q1,-5.826660300861452
1108,2020Q2,3.8924962649528707
1108,2020Q3,-1.5588803555651953
1108,2020Q4,2.3342133180854083
1108,2021Q1,1.2403967894589185
1108,2021Q2,-1.892581028450419
1108,2021Q3,-0.05300245781734383
1108,2021Q4,0.6446136037932335
1108,2022Q1,0.8620582043283463
1108,2022Q2,-1.0251284264881544
1108,2022Q3,-1.1784805643686478
1108,2022Q4,-0.11534142956324726
1108,2023Q1,2.759220580048603
1108,2023Q2,2.533516643712468
1108,2023Q3,-1.3263119719431329
1108,2023Q4,0.5276679209101987
1108,2024Q1,0.3532258175077582
1108,2024Q2,-0.0873225463952436
1108,2024Q3,0.5105814373286961
1108,2024Q4,-0.11723960467929426
1108,2025Q1,0.056525394557093746
1108,2025Q2,-0.22051462196570212
1108,2025Q3,0.10379252625327062
1108,2025Q4,-0.0977512826304453
1109,2020Q1,-3.106219988487219
1109,2020Q2,0.7604599268714607
1109,2020Q3,-0.3440719948464596
1109,2020Q4,-0.3602370496092369
1109,2021Q1,3.557741555409797
1109,2021Q2,-0.6602687169562265
1109,2021Q3,0.05979793259203107
1109,2021Q4,0.6014142533455451
1109,2022Q1,0.9176383264242212
1109,2022Q2,-0.004224770452040218
1109,2022Q3,-3.964379154038596
1109,2022Q4,-0.5521741157391701
1109,2023Q1,0.5771620613147608
1109,2023Q2,0.29457521429296346
1109,2023Q3,-0.4242749211546341
1109,2023Q4,0.13673145342522328
1109,2024Q1,2.0190240346497905
1109,2024Q2,0.005907572985809719
1109,2024Q3,0.6998531976177503
1109,2024Q4,-0.7065751000597336
1109,2025Q1,-0.06886168871016424
1109,2025Q2,-0.4396677448960855
1109,2025Q3,-0.35723451028996867
1109,2025Q4,-0.12003526136079583
1110,2020Q1,-1.921014299654844
1110,2020Q2,0.2757947759573249
1110,2020Q3,0.3394687767816075
1110,2020Q4,0.5607799085677109
1110,2021Q1,-1.1465051429403852
1110,2021Q2,-1.0511443894111747
1110,2021Q3,2.804977894716104
1110,2021Q4,0.3347179758381871
1110,2022Q1,2.3506347927288584
1110,2022Q2,-0.1146452776680684
1110,2022Q3,-1.1663310439066452
1110,2022Q4,1.3044716132137157
1110,2023Q1,-0.451866287315918
1110,2023Q2,0.23826150388309633
1110,2023Q3,-0.29895532981412565
1110,2023Q4,-0.04543513775105779
1110,2024Q1,-0.4574571288471063
1110,2024Q2,0.45847127328033627
1110,2024Q3,-0.35185882055605244
1110,2024Q4,-0.39929455188763274
1110,2025Q1,-2.777871787594583
1110,2025Q2,-0.40221979655613765
1110,2025Q3,-1.4836741201403147
1110,2025Q4,-0.13589449114139188
1201,2020Q1,-4.485366738865981
1201,2020Q2,1.0446274385069192
1201,2020Q3,-0.8453959088050158
1201,2020Q4,1.5223240048156215
1201,2021Q1,1.0784836597000467
1201,2021Q2,-0.6908604165966233
1201,2021Q3,1.2125494298186088
1201,2021Q4,0.21387676119148266
1201,2022Q1,-0.39567088689899926
1201,2022Q2,-0.8954113508239208
1201,2022Q3,-0.6048381300083704
1201,2022Q4,-0.011536483883073082
1201,2023Q1,-0.4741121393318035
1201,2023Q2,-0.16493275179856856
1201,2023Q3,-0.610393653823331
1201,2023Q4,-0.1479712170077234
1201,2024Q1,-0.051972844383459
1201,2024Q2,-0.05316035836441397
1201,2024Q3,0.17678992693685333
1201,2024Q4,-0.18100233077324918
1201,2025Q1,-0.40492548867563877
1201,2025Q2,-0.815130242200493
1201,2025Q3,-0.35004312030023516
1201,2025Q4,-0.6244654546300233
1203,2020Q1,-0.49219073872348185
1203,2020Q2,1.177567974695049
1203,2020Q3,-0.14065404788559713
1203,2020Q4,0.18171089428391227
1203,2021Q1,1.2122760815833287
1203,2021Q2,-0.958151566961502
1203,2021Q3,0.015155303178655759
1203,2021Q4,0.08166721546364164
1203,2022Q1,0.1262355757522443
1203,2022Q2,0.7305864034264422
1203,2022Q3,-1.1788927153054662
1203,2022Q4,0.20800123555666078
1203,2023Q1,1.4968929663030086
1203,2023Q2,3.7136850396025856
1203,2023Q3,0.4079587499783212
1203,2023Q4,2.353881523824091
1203,2024Q1,-1.7671747443782173
1203,2024Q2,1.1031451697921297
1203,2024Q3,0.21869912486460164
1203,2024Q4,-0.8845203004116861
1203,2025Q1,0.6570296634227751
1203,2025Q2,0.17605131689745
1203,2025Q3,0.43139866412631783
1203,2025Q4,0.10203752671454386
1210,2020Q1,-3.2624464438675
1210,2020Q2,0.10553758630598235
1210,2020Q3,-1.1146936619220367
1210,2020Q4,2.357060868911774
1210,2021Q1,2.031455250160003
1210,2021Q2,1.323628631937943
1210,2021Q3,-0.025908835525471914
1210,2021Q4,0.4792860738655759
1210,2022Q1,0.27639108491132586
1210,2022Q2,-0.9526359664100145
1210,2022Q3,-1.7903300996843026
1210,2022Q4,0.700033234500702
1210,2023Q1,0.9598371086431828
1210,2023Q2,-0.05502491051924645
1210,2023Q3,-0.3471348716833947
1210,2023Q4,0.42915139128152263
1210,2024Q1,-0.4442698579673927
1210,2024Q2,-0.16709287304352416
1210,2024Q3,0.10321814292305978
1210,2024Q4,-0.2734278809878395
1210,2025Q1,1.524017240562777
1210,2025Q2,1.0217552332701998
1210,2025Q3,-1.4272342040337374
1210,2025Q4,-0.6332887390156807
1213,2020Q1,-1.2678551471588257
1213,2020Q2,1.15928412185513
1213,2020Q3,0.003647959184782623
1213,2020Q4,-0.16616760955146215
1213,2021Q1,3.378982382953362
1213,2021Q2,0.36568057640849727
1213,2021Q3,-0.34136612219657575
1213,2021Q4,0.3485843199976234
1213,2022Q1,-0.8510579465121152
1213,2022Q2,-0.9752476977268186
1213,2022Q3,-1.0362223338751995
1213,2022Q4,-0.20905975199962049
1213,2023Q1,-0.1723834095644426
1213,2023Q2,-1.0119052391699346
1213,2023Q3,0.1854037362308838
1213,2023Q4,0.25412363555685
1213,2024Q1,0.6419261617343311
1213,2024Q2,1.0613694558366158
1213,2024Q3,-0.1386972320280431
1213,2024Q4,3.044830279874146
1213,2025Q1,-3.168874771752972
1213,2025Q2,-0.38955909025165514
1213,2025Q3,-0.8752309691332361
1213,2025Q4,0.1624103965391406
1215,2020Q1,-2.127138789312072
1215,2020Q2,0.6534254151942875
1215,2020Q3,-0.7170813175480237
1215,2020Q4,0.613625615756872
1215,2021Q1,1.0999465817010847
1215,2021Q2,2.2386463840313
1215,2021Q3,0.213987144610362
1215,2021Q4,0.10313871258477124
1215,2022Q1,-0.7503911924127052
1215,2022Q2,0.022360435045478206
1215,2022Q3,-0.2171659293337814
1215,2022Q4,0.09731569567107398
1215,2023Q1,0.6050488101964887
1215,2023Q2,0.9433601933380122
1215,2023Q3,-0.16614430024305651
1215,2023Q4,0.24006446692435576
1215,2024Q1,3.0400280015055823
1215,2024Q2,1.2671001385573244
1215,2024Q3,0.4482748190800304
1215,2024Q4,-1.910698940113148
1215,2025Q1,0.41533091970430913
1215,2025Q2,3.4444461268260227
1215,2025Q3,1.4564833951716147
1215,2025Q4,-1.4223879069674117
1216,2020Q1,-3.1619321012326167
1216,2020Q2,0.029127114990918208
1216,2020Q3,-1.2723756753189843
1216,2020Q4,0.6273346366248578
1216,2021Q1,1.3214306410864194
1216,2021Q2,-0.06754783219371073
1216,2021Q3,-0.09561591601369823
1216,2021Q4,0.2995512261506838
1216,2022Q1,-0.6860104791221541
1216,2022Q2,0.518022046990006
1216,2022Q3,0.4490759684008973
1216,2022Q4,0.3989986610801784
1216,2023Q1,1.57380122261988
1216,2023Q2,0.6534760050385912
1216,2023Q3,-0.2783158891710181
1216,2023Q4,0.27018726984504876
1216,2024Q1,0.5707360435427248
1216,2024Q2,1.1578776465112441
1216,2024Q3,0.8569065607793377
1216,2024Q4,-0.941283989264436
1216,2025Q1,0.13830639225478694
1216,2025Q2,0.21256604227477202
1216,2025Q3,0.012343283653694099
1216,2025Q4,0.834092366043427
1217,2020Q1,-1.3580990602281269
1217,2020Q2,1.490415937471064
1217,2020Q3,-1.0988789924549376
1217,2020Q4,3.980737177710668
1217,2021Q1,0.42199340924598866
1217,2021Q2,-1.238605203298198
1217,2021Q3,0.06691707018588101
1217,2021Q4,1.0357729504822772
1217,2022Q1,1.8320874589731622
1217,2022Q2,-1.2320483715172152
1217,2022Q3,-1.2807101591626147
