coid,year,K_avg,D_avg,K_minus_D_avg
1101,2020,55.36832835872668,55.50704809954009,-0.1387197408134142
1101,2021,49.845084383750475,49.693007178197604,0.15207720555287096
1101,2022,47.8841224680719,48.24877436248796,-0.36465189441605617
1101,2023,47.860295275903,47.48762159813904,0.3726736777639559
1101,2024,45.24935238465062,45.651121071185365,-0.4017686865347443
1101,2025,41.14541517288398,40.8309667530113,0.3144484198726758
1102,2020,51.62436647669789,51.52486389223759,0.09950258446029636
1102,2021,50.99472126692337,51.00047627265614,-0.005755005732765994
1102,2022,58.95690854251695,59.0663717934962,-0.10946325097925325
1102,2023,56.32240076535723,56.236517884579264,0.08588288077796591
1102,2024,53.20141054428364,53.53719859178558,-0.3357880475019428
1102,2025,49.393601172511744,49.28829622236457,0.1053049501471719
1103,2020,53.328672070785686,53.44508207286218,-0.11641000207649199
1103,2021,51.18172319220846,51.115631366301265,0.06609182590719342
1103,2022,48.30508326246105,48.54908914883798,-0.24400588637692522
1103,2023,50.519217596135604,50.26605950327878,0.2531580928568218
1103,2024,47.70612328436625,48.067276413168855,-0.36115312880260575
1103,2025,48.25336422341904,48.08112620724589,0.1722380161731536
1104,2020,53.98432603400616,53.89219608819331,0.09212994581285017
1104,2021,54.18438833881227,54.16934604566751,0.015042293144759356
1104,2022,54.28602970879805,54.45238749824127,-0.1663577894432251
1104,2023,59.05426948697672,58.985204966055086,0.06906452092163562
1104,2024,44.71603865517424,44.771172709875465,-0.05513405470122734
1104,2025,50.64190563991155,50.82383893362362,-0.18193329371207057
1108,2020,50.32072544429442,50.320740173138844,-1.4728844426770138e-05
1108,2021,44.836688443572804,44.788451790661334,0.048236652911469946
1108,2022,48.607585333861,48.757094481544314,-0.14950914768331103
1108,2023,48.726609285210635,48.69824287513725,0.028366410073388693
1108,2024,42.31828530975704,42.53318653926579,-0.21490122950875445
1108,2025,48.5759648335485,48.37226092505293,0.2037039084955694
1109,2020,55.329389169127445,55.27485601826648,0.05453315086096211
1109,2021,48.00209316009223,47.89808373373414,0.10400942635808974
1109,2022,45.84362853970013,46.21923686230021,-0.3756083226000797
1109,2023,50.86569257859433,50.67902062730478,0.18667195128954717
1109,2024,46.12806451865329,46.28939987976304,-0.16133536110974944
1109,2025,47.18613029173727,47.04721075377009,0.13891953796718326
1110,2020,59.049917672890544,59.26962235441062,-0.21970468152007783
1110,2021,45.67080876109668,45.72077356786718,-0.04996480677049675
1110,2022,49.67197723551087,49.3574751941835,0.3145020413273727
1110,2023,55.66926721420097,55.893886149413085,-0.2246189352121135
1110,2024,49.16099726167926,49.21773714523042,-0.056739883551159664
1110,2025,44.61590249021789,44.485171592980436,0.13073089723745568
1201,2020,48.56573511076912,48.600731930118876,-0.0349968193497574
1201,2021,50.94595423030805,50.870870603000306,0.0750836273077411
1201,2022,47.734131919495525,47.98106391542564,-0.24693199593011883
1201,2023,48.4724243740046,48.425759249768966,0.046665124235637734
1201,2024,45.32539458208276,45.36802095463192,-0.042626372549165126
1201,2025,42.79243412691178,42.9514269925082,-0.15899286559642434
1203,2020,58.50906953644078,58.341888921753224,0.16718061468755252
1203,2021,47.729066453939375,47.70821048813547,0.020855965803903587
1203,2022,55.981877045158186,56.05625384189128,-0.07437679673309106
1203,2023,65.1748728221499,64.93045542587996,0.24441739626993808
1203,2024,47.06555856792166,47.34355613964329,-0.2779975717216274
1203,2025,49.39650572657202,49.28058058531043,0.11592514126159159
1210,2020,53.274490686808704,53.19006600875341,0.08442467805529219
1210,2021,52.84442796554624,52.74713024451971,0.09729772102652845
1210,2022,49.67813315661684,49.94675411856778,-0.2686209619509441
1210,2023,52.323516818182426,52.36161406570903,-0.0380972475266006
1210,2024,50.30709277033374,50.201847441883274,0.10524532845046508
1210,2025,47.95086376331562,48.1280892032905,-0.17722543997488316
1213,2020,50.785056461036675,50.78192918110441,0.0031272799322650258
1213,2021,53.92875819667077,53.72060998266628,0.20814821400448835
1213,2022,48.34824388830369,48.61674209449406,-0.26849820619036535
1213,2023,49.44735539153149,49.55802382684977,-0.11066843531828141
1213,2024,54.33574513055949,54.27964375809212,0.05610137246736713
1213,2025,48.379021888474426,48.20275887664995,0.17626301182447435
1215,2020,54.27682539202868,54.28035899105706,-0.003533599028379797
1215,2021,52.9307443996074,52.93243887697795,-0.0016944773705489524
1215,2022,52.07948657841362,52.23942929047683,-0.15994271206320576
1215,2023,51.88365377523006,51.842977967008956,0.04067580822110273
1215,2024,47.048574051863156,47.22386626813388,-0.17529221627072644
1215,2025,58.78504347835784,58.75774585846135,0.02729761989649404
1216,2020,48.6208039026519,48.63472570498675,-0.013921802334849076
1216,2021,55.97479881500093,56.04408396997331,-0.06928515497237697
1216,2022,52.70585745004369,52.59872884070038,0.10712860934330592
1216,2023,55.478153617031175,55.56823999438792,-0.09008637735674796
1216,2024,56.49392970094861,56.796241463249316,-0.3023117623007039
1216,2025,47.813363735641055,47.50111341724406,0.31225031839699113
1217,2020,44.68004484034648,44.55859691664409,0.12144792370239088
1217,2021,45.60754628966165,45.496661238361426,0.11088505130022241
1217,2022,49.24798067712235,49.62571878239734,-0.3777381052749931
1217,2023,47.313534601019064,47.003527737924124,0.31000686309494085
1217,2024,44.89659525072675,45.020431329299996,-0.12383607857324819
1217,2025,44.58339025428754,44.60232175595386,-0.018931501666315853
1218,2020,53.84954340692556,53.69381269338163,0.15573071354393164
1218,2021,48.28460377084724,48.22161046193317,0.06299330891407351
1218,2022,53.13781647993519,53.24517079848792,-0.10735431855272992
1218,2023,40.75738587977928,40.5767904971052,0.1805953826740776
1218,2024,42.434301791508325,42.700285050457815,-0.2659832589494897
1218,2025,48.588546541238244,48.43003756100837,0.15850898022987536
1219,2020,49.6680348259539,49.88382108166635,-0.21578625571244459
1219,2021,44.753220386380434,44.435728639863015,0.31749174651741896
1219,2022,42.26474403497577,42.641641371230904,-0.37689733625513355
1219,2023,45.1449418344369,44.98818868488989,0.1567531495470078
1219,2024,44.426873856053696,44.65306616839573,-0.22619231234203596
1219,2025,46.84262882095081,46.796635185893386,0.045993635057421045
1220,2020,61.2661205364983,61.25285477677015,0.013265759728149362
1220,2021,49.938035367628835,49.75285038566149,0.18518498196734612
1220,2022,49.358636055777936,49.530403631731836,-0.17176757595390058
1220,2023,42.37858728642036,42.33666255961752,0.041924726802839984
1220,2024,45.64379981804454,45.69352545925573,-0.0497256412111895
1220,2025,43.783369899770506,43.679995495492136,0.10337440427836952
1225,2020,51.36809186480222,51.14437786465258,0.22371400014963427
1225,2021,54.95455358729002,54.68857522351906,0.2659783637709623
1225,2022,57.704294920826094,57.80492163393894,-0.10062671311284532
