Variable,類別,β,Std_Err,t,p,Sig
const,—,-0.0,0.006,-0.0,1.0,
EPS,基本面,0.0388,0.0082,4.7587,0.0,***
ROE,基本面,0.0401,0.0091,4.3792,0.0,***
OM,基本面,-0.0323,0.0073,-4.4532,0.0,***
FCF,基本面,-0.013,0.0061,-2.1309,0.0331,**
BIAS,技術面,0.0448,0.0063,7.1401,0.0,***
PPO,技術面,0.8768,0.0076,115.7049,0.0,***
K,技術面,-0.0598,0.0079,-7.5862,0.0,***
RSI,技術面,0.082,0.0063,12.954,0.0,***
SIZE,控制,-0.0571,0.007,-8.1509,0.0,***
LEV,控制,0.0279,0.0065,4.2733,0.0,***
