Variable,類別,β,Std_Err,t,p,Sig
const,—,-3.4883,0.4584,-7.6093,0.0,***
EPS,基本面,0.0153,0.0106,1.4499,0.1471,
ROE,基本面,-0.003,0.0053,-0.5615,0.5745,
OM,基本面,-0.0023,0.0009,-2.4637,0.0138,**
FCF,基本面,-0.0026,0.0004,-6.0684,0.0,***
BIAS,技術面,-0.0022,0.0007,-3.0913,0.002,***
PPO,技術面,3.4783,0.0211,164.9338,0.0,***
K,技術面,-0.0219,0.0042,-5.2258,0.0,***
RSI,技術面,0.1347,0.0035,38.0453,0.0,***
SIZE,控制,-0.1547,0.0265,-5.8346,0.0,***
LEV,控制,0.0062,0.0019,3.2174,0.0013,***
