Variable,類別,β,Std_Err,t,p,Sig
const,—,46.6038,4.2418,10.9867,0.0,***
EPS,基本面,0.2722,0.0572,4.7587,0.0,***
ROE,基本面,0.1431,0.0327,4.3792,0.0,***
OM,基本面,-0.0494,0.0111,-4.4532,0.0,***
FCF,基本面,-0.0076,0.0036,-2.1309,0.0331,**
BIAS,技術面,0.0514,0.0072,7.1401,0.0,***
PPO,技術面,61.1075,0.5281,115.7049,0.0,***
K,技術面,-0.5107,0.0673,-7.5862,0.0,***
RSI,技術面,0.275,0.0212,12.954,0.0,***
SIZE,控制,-1.9052,0.2337,-8.1509,0.0,***
LEV,控制,0.0716,0.0168,4.2733,0.0,***
