Variable,類別,β,Std_Err,t,p,Sig
const,—,-0.0,0.003,-0.0,1.0,
EPS,基本面,0.0063,0.0044,1.4499,0.1471,
ROE,基本面,-0.0025,0.0045,-0.5615,0.5745,
OM,基本面,-0.0084,0.0034,-2.4637,0.0138,**
FCF,基本面,-0.0186,0.0031,-6.0684,0.0,***
BIAS,技術面,-0.0096,0.0031,-3.0913,0.002,***
PPO,技術面,0.7675,0.0047,164.9338,0.0,***
K,技術面,-0.0187,0.0036,-5.2258,0.0,***
RSI,技術面,0.1674,0.0044,38.0453,0.0,***
SIZE,控制,-0.0202,0.0035,-5.8346,0.0,***
LEV,控制,0.0105,0.0033,3.2174,0.0013,***
