coid,year,RSI
1101,2020,57.22221510856168
1101,2021,64.63779627109363
1101,2022,42.29134627493944
1101,2023,64.02532793566135
1101,2024,24.222698326974808
1101,2025,58.85664802348466
1102,2020,55.303810458016166
1102,2021,70.36794189235528
1102,2022,46.00730369719468
1102,2023,57.66087751022527
1102,2024,25.01697421571185
1102,2025,49.73236278916397
1103,2020,67.40241457323086
1103,2021,63.41192068880596
1103,2022,40.87780889958618
1103,2023,51.65900182464901
1103,2024,31.70846453236798
1103,2025,52.054221498900496
1104,2020,54.17622748753894
1104,2021,57.34169480469454
1104,2022,44.92474905256824
1104,2023,52.5508009514524
1104,2024,50.92738070631715
1104,2025,39.9318671098423
1108,2020,68.02614625634536
1108,2021,68.80154483974403
1108,2022,39.73720297474067
1108,2023,55.20861611864453
1108,2024,44.20440764274781
1108,2025,50.46721587345717
1109,2020,48.35958404651885
1109,2021,83.98360876382051
1109,2022,36.50207476660673
1109,2023,59.32419379712115
1109,2024,14.231411668257843
1109,2025,44.07499766993408
1110,2020,62.35057384912771
1110,2021,55.8152449947139
1110,2022,78.01885154880566
1110,2023,44.19918281990285
1110,2024,42.896025503600235
1110,2025,50.193867538755164
1201,2020,69.86739020019695
1201,2021,60.40471829054931
1201,2022,48.81824311651297
1201,2023,42.44873363272131
1201,2024,44.361028785285384
1201,2025,31.268430669741548
1203,2020,46.11540690693462
1203,2021,49.56564228398418
1203,2022,52.8426046541972
1203,2023,91.10854839970219
1203,2024,34.771632129095494
1203,2025,50.516715022029324
1210,2020,75.25794675003048
1210,2021,72.66730375496448
1210,2022,60.09771993024214
1210,2023,60.48693749020657
1210,2024,40.46195617649928
1210,2025,43.25317869320766
1213,2020,50.595167624755064
1213,2021,61.755802356890314
1213,2022,55.08900020298439
1213,2023,44.482850514615784
1213,2024,52.89662591044938
1213,2025,49.786623205679646
1215,2020,66.28128747310082
1215,2021,60.431090570459624
1215,2022,58.18660205939099
1215,2023,51.57657969853015
1215,2024,17.5575897355227
1215,2025,35.837921290024354
1216,2020,66.59295414668156
1216,2021,52.912711305420956
1216,2022,71.27850789196157
1216,2023,65.10664860680522
1216,2024,32.467230644774794
1216,2025,50.23851654279677
1217,2020,79.37314328907078
1217,2021,80.67369860073524
1217,2022,50.43536920737477
1217,2023,70.28475754779393
1217,2024,42.57517203811939
1217,2025,45.236742082745266
1218,2020,69.20849053909343
1218,2021,60.88884833790132
1218,2022,31.15105460903782
1218,2023,64.15566286373038
1218,2024,26.43918738826454
1218,2025,51.18355326318825
1219,2020,63.74289224606615
1219,2021,70.4429223446722
1219,2022,40.44953200312066
1219,2023,43.86836182379146
1219,2024,19.004889313854626
1219,2025,41.28367942617944
1220,2020,56.09782770136904
1220,2021,60.717107410467065
1220,2022,64.26719866545231
1220,2023,53.08771464030264
1220,2024,48.25174951982142
1220,2025,40.57792743023007
1225,2020,63.42690771504302
1225,2021,84.40441010956819
1225,2022,64.43898170944775
1225,2023,54.790274315714505
1225,2024,13.886348164830789
1225,2025,22.797037166299873
1227,2020,62.208005058499126
1227,2021,50.68777799645887
1227,2022,55.75507227835287
1227,2023,48.788361757135334
1227,2024,30.647227118146013
1227,2025,39.70774123067517
1229,2020,70.75009800138724
1229,2021,83.5828061077216
1229,2022,65.11083828439071
1229,2023,57.60123694162931
1229,2024,24.93480378753163
1229,2025,49.2092099780883
1231,2020,83.44924334288008
1231,2021,59.97388557404386
1231,2022,65.77368535325387
1231,2023,36.99929608546371
1231,2024,78.72157765706757
1231,2025,42.64287070562311
1232,2020,76.39425496884195
1232,2021,59.7162013391218
1232,2022,44.875353212437034
1232,2023,40.44902959027654
1232,2024,62.17491901781674
1232,2025,46.89880872514138
1233,2020,60.74723276629872
1233,2021,61.56359269698655
1233,2022,56.18034091087139
1233,2023,43.39519969893607
1233,2024,45.11019309914939
1233,2025,58.20443877897487
1234,2020,38.99227037346194
1234,2021,80.42522445294841
1234,2022,34.6081454392465
1234,2023,73.75871515237988
1234,2024,36.79895968355521
1234,2025,53.90910644548976
1235,2020,62.058196766911934
1235,2021,60.428318560658546
1235,2022,51.04480797535216
1235,2023,36.17423013405135
1235,2024,9.86202493637708
1235,2025,34.286524138496624
1236,2020,63.44073558737554
1236,2021,68.1138702025733
1236,2022,68.7441403880783
1236,2023,41.49775241750556
1236,2024,37.871868765272595
1236,2025,51.18699988058491
1240,2020,43.03658466092447
1256,2020,38.590201580171296
1256,2021,43.08486260773458
1256,2022,57.90186562626467
1256,2023,32.37468652890373
1256,2024,36.40276883331478
1256,2025,65.7693303752464
1259,2020,61.03547659802621
1264,2020,42.19896685446364
1268,2020,45.86014690949534
1301,2020,80.03884533036329
