coid,year,RET,ROA,EPS,ROE,OM,FCF,total_assets,LEV,BIAS,PPO,K,RSI
1101,2020,9.8274,7.82,4.32,13.1,27.4,-7.249560918589664,389506236.0,43.82,25.471421666939392,0.2192055217606575,55.36832835872668,57.22221510856168
1101,2021,18.9741,5.17,3.3,9.07,18.48,-64.40658180522749,441684559.0,48.91,49.25657136115751,0.3048509074580558,49.84508438375048,64.63779627109363
1101,2022,-21.049,1.43,0.74,1.79,1.02,2.542693520335777,460808961.0,48.29,17.936286243811093,-0.4271716336289105,47.8841224680719,42.29134627493944
1101,2023,4.9821,2.76,1.06,4.07,9.18,-48.60292330242366,469438522.0,45.91,23.835003367977187,0.048103839558013,47.860295275903,64.02532793566135
1101,2024,-6.3279,3.73,1.45,5.56,11.08,-2.8556435834966982,593413647.0,48.11,16.033474268273643,-0.0635854950910177,45.24935238465062,24.222698326974808
1101,2025,-23.9159,-1.28,-1.6,-3.95,6.73,-26.24916039096481,588835474.0,50.29,-11.709524335062362,-0.98110233450283,41.14541517288398,58.85664802348466
1102,2020,-3.4558,6.63,4.7,11.07,24.61,13.445623909854284,297086855.0,42.82,-18.944209444695176,-0.0295853802134907,51.62436647669789,55.303810458016166
1102,2021,10.2078,5.94,4.7,10.01,18.81,40.8467408974233,317056069.0,43.14,-10.938069704410267,0.1487959634712176,50.99472126692337,70.36794189235528
1102,2022,0.3192,4.25,3.63,6.91,9.41,8.731405708209092,324243127.0,43.18,-10.734091621855242,0.0276036250257591,58.95690854251695,46.00730369719468
1102,2023,6.8381,3.78,3.28,5.89,9.04,-4.161494052500534,336726851.0,43.02,-4.869721748398135,0.1020444076580444,56.32240076535723,57.66087751022527
1102,2024,2.3688,4.18,3.86,6.38,9.73,15.32180420269774,331827224.0,38.27,-2.6514601006121965,0.1020294565043656,53.20141054428364,25.01697421571185
1102,2025,-2.6932,3.48,3.0,5.0,11.34,-58.78789096767735,324040459.0,37.22,-5.150191611911299,-0.1571910299063317,49.393601172511744,49.73236278916397
1103,2020,-9.7418,4.96,2.74,7.54,39.96,14.52642270785956,40646227.0,38.45,7.658649385895687,-0.0824778112205251,53.328672070785686,67.40241457323086
1103,2021,16.4133,2.16,1.02,2.94,-23.67,106.8057526963552,40247651.0,35.62,25.174815491768086,0.2830406121126432,51.18172319220846,63.41192068880596
1103,2022,-12.9945,-0.1,-0.28,-0.73,-17.54,35.57308179608266,36454234.0,39.65,8.974092690289263,-0.2297569660317264,48.30508326246105,40.87780889958618
1103,2023,13.2331,0.71,0.12,0.43,-5.07,-23.81986860081974,36464334.0,38.52,23.44396903861864,0.208948877049635,50.5192175961356,51.65900182464901
1103,2024,-8.3092,1.43,0.48,1.53,-5.09,99.64904465032672,35078080.0,38.45,13.197358035973927,-0.1286992918613989,47.70612328436625,31.70846453236798
1103,2025,-14.7224,2.23,0.84,2.81,-2.66,35.42941521469463,32617313.0,42.6,-3.418767914260792,-0.5480056356847203,48.25336422341904,52.054221498900496
1104,2020,25.0925,5.41,1.91,6.83,9.09,5.6866878920493145,24102936.0,22.06,-40.12080889433599,0.4257846344327568,53.98432603400616,54.17622748753894
1104,2021,-2.066,4.62,1.66,5.84,11.68,38.332646670343074,25096822.0,22.76,-41.41644051475094,-0.0356481469281241,54.18438833881227,57.34169480469454
1104,2022,7.5801,8.38,3.12,10.67,11.92,12.078976183339936,27811895.0,22.6,-36.96927252035368,0.1456646052367956,54.28602970879805,44.92474905256824
1104,2023,44.9379,8.54,3.13,10.62,12.49,15.321979869475328,28189560.0,19.55,-8.745513437800936,0.6782753731835953,59.05426948697672,52.5508009514524
1104,2024,3.4995,5.41,2.16,6.49,13.3,4.107396255148306,29627506.0,17.46,-5.593977063818612,0.0554804483539011,44.71603865517424,50.92738070631715
1104,2025,11.286,6.08,2.56,7.29,15.38,47.88042667060952,31083798.0,19.64,5.051212466077208,0.3741731915538575,50.64190563991155,39.9318671098423
1108,2020,53.7064,5.44,0.97,8.74,9.88,2.4461822830351947,8027307.0,41.99,-32.93581297083924,0.8011829836783115,50.32072544429442,68.02614625634536
1108,2021,-0.8563,3.58,0.65,5.64,8.98,42.73488841512675,8041710.0,42.23,-33.49178550579601,-0.0011183420214613,44.8366884435728,68.80154483974403
1108,2022,-4.8025,6.96,1.44,12.17,17.15,-43.08945251913016,9661871.0,49.23,-36.68862758179747,-0.0496803586015414,48.607585333861,39.73720297474067
1108,2023,54.816,5.84,1.3,10.57,12.02,15.863774013101226,9969873.0,49.14,-2.148833847607932,0.7739866107150919,48.72660928521064,55.20861611864453
1108,2024,-2.5272,5.23,1.22,9.63,13.13,-2.3817488663146675,10431267.0,50.29,-4.650710254913407,-0.0343583375118612,42.31828530975704,44.20440764274781
1108,2025,8.9833,8.92,2.18,16.1,24.97,-1.2979199151232537,10162376.0,43.36,3.89736747004697,0.2324853527764794,48.5759648335485,50.46721587345717
1109,2020,5.9416,12.61,2.94,15.95,27.69,-1.5365157267323988,11811053.0,19.22,-7.940663176265277,0.2103285139513464,55.329389169127445,48.35958404651885
1109,2021,10.4986,10.32,2.52,12.51,23.82,-2.0885357548240635,11702345.0,15.8,1.7825978558962716,0.0853086084883077,48.00209316009223,83.98360876382051
1109,2022,-18.5268,4.47,1.17,5.31,14.26,-3.317070436809685,11490026.0,15.9,-17.102966841186735,-0.3130837824411053,45.84362853970013,36.50207476660673
1109,2023,21.9907,7.02,2.01,8.22,15.8,6.887496733630055,11563170.0,13.6,1.1593118922961851,0.3447329540852317,50.86569257859433,59.32419379712115
1109,2024,3.2605,4.61,1.38,5.19,13.99,5.292167876211843,11279234.0,9.55,4.3380703066566815,0.1047883015514566,46.12806451865329,14.231411668257843
1109,2025,-7.4576,3.38,1.03,3.73,9.55,11.367945178553878,11441138.0,10.13,-3.3906756419845454,-0.2724337416169161,47.18613029173727,44.07499766993408
1110,2020,3.2142,0.22,0.04,0.2,-1.92,11.775409009104267,9865320.0,13.35,-6.198886900776098,0.068203496113511,59.049917672890544,62.35057384912771
