coid,year,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1101,2020,9.8274,7.82,4.32,13.1,27.4,-7.249560918589664,25.471421666939392,0.2192055217606575,55.36832835872668,57.22221510856168,19.78039043341649,43.82
1101,2021,18.9741,5.17,3.3,9.07,18.48,-64.40658180522749,49.25657136115751,0.3048509074580558,49.84508438375048,64.63779627109363,19.906106517839337,48.91
1101,2022,-21.049,1.43,0.74,1.79,1.02,2.542693520335777,17.936286243811093,-0.4271716336289105,47.8841224680719,42.29134627493944,19.948494113771456,48.29
1101,2023,4.9821,2.76,1.06,4.07,9.18,-48.60292330242366,23.835003367977187,0.048103839558013,47.860295275903,64.02532793566135,19.96704790448176,45.91
1101,2024,-6.3279,3.73,1.45,5.56,11.08,-2.8556435834966982,16.033474268273643,-0.0635854950910177,45.24935238465062,24.222698326974808,20.201402263534305,48.11
1101,2025,-23.9159,-1.28,-1.6,-3.95,6.73,-26.24916039096481,-11.709524335062362,-0.98110233450283,41.14541517288398,58.85664802348466,20.19365737152606,50.29
1102,2020,-3.4558,6.63,4.7,11.07,24.61,13.445623909854284,-18.944209444695176,-0.0295853802134907,51.62436647669789,55.303810458016166,19.50953509509186,42.82
1102,2021,10.2078,5.94,4.7,10.01,18.81,40.8467408974233,-10.938069704410267,0.1487959634712176,50.99472126692337,70.36794189235528,19.57458919001826,43.14
1102,2022,0.3192,4.25,3.63,6.91,9.41,8.731405708209092,-10.734091621855242,0.0276036250257591,58.95690854251695,46.00730369719468,19.597004184328625,43.18
1102,2023,6.8381,3.78,3.28,5.89,9.04,-4.161494052500534,-4.869721748398135,0.1020444076580444,56.32240076535723,57.66087751022527,19.634782628501384,43.02
1102,2024,2.3688,4.18,3.86,6.38,9.73,15.32180420269774,-2.6514601006121965,0.1020294565043656,53.20141054428364,25.01697421571185,19.620124981782112,38.27
1102,2025,-2.6932,3.48,3.0,5.0,11.34,-58.78789096767735,-5.150191611911299,-0.1571910299063317,49.393601172511744,49.73236278916397,19.596378939417352,37.22
